S 1501f0,4 hit s = 15, b= 16
S 1502fc,4 hit s = 23, b= 28
S 150408,4 hit s = 0, b= 8
S 150514,4 hit s = 8, b= 20
S 150620,4 miss s = 17, b= 0
S 15072c,4 hit s = 25, b= 12
S 150838,4 hit s = 1, b= 24
L 110a48,4 miss s = 18, b= 8
L 110a4c,4 hit s = 18, b= 12
L 110a50,4 hit s = 18, b= 16
L 110a54,4 hit s = 18, b= 20
L 110a58,4 hit s = 18, b= 24
L 110a5c,4 hit s = 18, b= 28
L 110a60,4 miss eviction s = 19, b= 0
L 110a64,4 hit s = 19, b= 4
S 1500e8,4 hit s = 7, b= 8
S 1501f4,4 hit s = 15, b= 20
S 150300,4 miss eviction s = 24, b= 0
S 15040c,4 hit s = 0, b= 12
S 150518,4 hit s = 8, b= 24
S 150624,4 hit s = 17, b= 4
S 150730,4 hit s = 25, b= 16
S 15083c,4 hit s = 1, b= 28
L 110b3c,4 miss eviction s = 25, b= 28
L 110b40,4 miss s = 26, b= 0
L 110b44,4 hit s = 26, b= 4
L 110b48,4 hit s = 26, b= 8
L 110b4c,4 hit s = 26, b= 12
L 110b50,4 hit s = 26, b= 16
L 110b54,4 hit s = 26, b= 20
L 110b58,4 hit s = 26, b= 24
S 1500ec,4 hit s = 7, b= 12
S 1501f8,4 hit s = 15, b= 24
S 150304,4 hit s = 24, b= 4
S 150410,4 hit s = 0, b= 16
S 15051c,4 hit s = 8, b= 28
S 150628,4 hit s = 17, b= 8
S 150734,4 miss eviction s = 25, b= 20
S 150840,4 miss s = 2, b= 0
L 110c30,4 miss eviction s = 1, b= 16
L 110c34,4 hit s = 1, b= 20
L 110c38,4 hit s = 1, b= 24
L 110c3c,4 hit s = 1, b= 28
L 110c40,4 miss eviction s = 2, b= 0
L 110c44,4 hit s = 2, b= 4
L 110c48,4 hit s = 2, b= 8
L 110c4c,4 hit s = 2, b= 12
S 1500f0,4 hit s = 7, b= 16
S 1501fc,4 hit s = 15, b= 28
S 150308,4 hit s = 24, b= 8
S 150414,4 hit s = 0, b= 20
S 150520,4 miss s = 9, b= 0
S 15062c,4 hit s = 17, b= 12
S 150738,4 hit s = 25, b= 24
S 150844,4 miss eviction s = 2, b= 4
L 110d24,4 miss eviction s = 9, b= 4
L 110d28,4 hit s = 9, b= 8
L 110d2c,4 hit s = 9, b= 12
L 110d30,4 hit s = 9, b= 16
L 110d34,4 hit s = 9, b= 20
L 110d38,4 hit s = 9, b= 24
L 110d3c,4 hit s = 9, b= 28
L 110d40,4 miss eviction s = 10, b= 0
S 1500f4,4 hit s = 7, b= 20
S 150200,4 miss eviction s = 16, b= 0
S 15030c,4 hit s = 24, b= 12
S 150418,4 hit s = 0, b= 24
S 150524,4 miss eviction s = 9, b= 4
S 150630,4 hit s = 17, b= 16
S 15073c,4 hit s = 25, b= 28
S 150848,4 hit s = 2, b= 8
L 110e18,4 miss eviction s = 16, b= 24
L 110e1c,4 hit s = 16, b= 28
L 110e20,4 miss eviction s = 17, b= 0
L 110e24,4 hit s = 17, b= 4
L 110e28,4 hit s = 17, b= 8
L 110e2c,4 hit s = 17, b= 12
L 110e30,4 hit s = 17, b= 16
L 110e34,4 hit s = 17, b= 20
S 1500f8,4 hit s = 7, b= 24
S 150204,4 miss eviction s = 16, b= 4
S 150310,4 hit s = 24, b= 16
S 15041c,4 hit s = 0, b= 28
