S 14f1d8,4 hit s = 14, b= 24
L 14f258,4 hit s = 18, b= 24
S 14f3cc,4 hit s = 30, b= 12
S 14f258,4 hit s = 18, b= 24
L 14f2d8,4 hit s = 22, b= 24
S 14f3d0,4 hit s = 30, b= 16
S 14f2d8,4 hit s = 22, b= 24
L 14f358,4 hit s = 26, b= 24
S 14f3d4,4 hit s = 30, b= 20
S 14f358,4 hit s = 26, b= 24

L 10f440,4 miss s = 2, b= 0
L 10f444,4 hit s = 2, b= 4
L 10f448,4 hit s = 2, b= 8
L 10f44c,4 hit s = 2, b= 12
L 10f450,4 hit s = 2, b= 16
L 10f454,4 hit s = 2, b= 20
L 10f458,4 hit s = 2, b= 24
L 10f45c,4 hit s = 2, b= 28

S 14f45c,4 miss eviction s = 2, b= 28
L 14f0dc,4 hit s = 6, b= 28
S 14f440,4 hit s = 2, b= 0
S 14f0dc,4 hit s = 6, b= 28
L 14f15c,4 hit s = 10, b= 28
S 14f444,4 hit s = 2, b= 4
S 14f15c,4 hit s = 10, b= 28
L 14f1dc,4 hit s = 14, b= 28
S 14f448,4 hit s = 2, b= 8
S 14f1dc,4 hit s = 14, b= 28
L 14f25c,4 hit s = 18, b= 28
S 14f44c,4 hit s = 2, b= 12
S 14f25c,4 hit s = 18, b= 28
L 14f2dc,4 hit s = 22, b= 28
S 14f450,4 hit s = 2, b= 16
S 14f2dc,4 hit s = 22, b= 28
L 14f35c,4 hit s = 26, b= 28
S 14f454,4 hit s = 2, b= 20
S 14f35c,4 hit s = 26, b= 28
L 14f3dc,4 hit s = 30, b= 28
S 14f458,4 hit s = 2, b= 24
S 14f3dc,4 hit s = 30, b= 28

L 10f4c0,4 miss eviction s = 6, b= 0
L 10f4c4,4 hit s = 6, b= 4
L 10f4c8,4 hit s = 6, b= 8
L 10f4cc,4 hit s = 6, b= 12
L 10f4d0,4 hit s = 6, b= 16
L 10f4d4,4 hit s = 6, b= 20
L 10f4d8,4 hit s = 6, b= 24
L 10f4dc,4 hit s = 6, b= 28

S 14f0e0,4 miss eviction s = 7, b= 0
S 14f160,4 miss s = 11, b= 0
S 14f1e0,4 miss s = 15, b= 0
S 14f260,4 miss s = 19, b= 0
S 14f2e0,4 miss s = 23, b= 0
S 14f360,4 miss s = 27, b= 0
S 14f3e0,4 miss s = 31, b= 0
S 14f460,4 miss s = 3, b= 0

L 10f540,4 miss eviction s = 10, b= 0
L 10f544,4 hit s = 10, b= 4
L 10f548,4 hit s = 10, b= 8
L 10f54c,4 hit s = 10, b= 12
L 10f550,4 hit s = 10, b= 16
L 10f554,4 hit s = 10, b= 20
L 10f558,4 hit s = 10, b= 24
L 10f55c,4 hit s = 10, b= 28

S 14f0e4,4 hit s = 7, b= 4
S 14f164,4 hit s = 11, b= 4
S 14f1e4,4 hit s = 15, b= 4
S 14f264,4 hit s = 19, b= 4
S 14f2e4,4 hit s = 23, b= 4
S 14f364,4 hit s = 27, b= 4
S 14f3e4,4 hit s = 31, b= 4
S 14f464,4 hit s = 3, b= 4

L 10f5c0,4 miss eviction s = 14, b= 0
L 10f5c4,4 hit s = 14, b= 4
L 10f5c8,4 hit s = 14, b= 8
L 10f5cc,4 hit s = 14, b= 12
L 10f5d0,4 hit s = 14, b= 16
L 10f5d4,4 hit s = 14, b= 20
L 10f5d8,4 hit s = 14, b= 24
L 10f5dc,4 hit s = 14, b= 28
S 14f0e8,4 hit s = 7, b= 8
S 14f168,4 hit s = 11, b= 8
S 14f1e8,4 hit s = 15, b= 8
S 14f268,4 hit s = 19, b= 8
S 14f2e8,4 hit s = 23, b= 8
S 14f368,4 hit s = 27, b= 8
S 14f3e8,4 hit s = 31, b= 8
S 14f468,4 hit s = 3, b= 8
L 10f640,4 miss eviction s = 18, b= 0
L 10f644,4 hit s = 18, b= 4
L 10f648,4 hit s = 18, b= 8
L 10f64c,4 hit s = 18, b= 12
L 10f650,4 hit s = 18, b= 16
L 10f654,4 hit s = 18, b= 20
L 10f658,4 hit s = 18, b= 24
L 10f65c,4 hit s = 18, b= 28
S 14f0ec,4 hit s = 7, b= 12
S 14f16c,4 hit s = 11, b= 12
S 14f1ec,4 hit s = 15, b= 12
S 14f26c,4 hit s = 19, b= 12
S 14f2ec,4 hit s = 23, b= 12
S 14f36c,4 hit s = 27, b= 12
S 14f3ec,4 hit s = 31, b= 12
S 14f46c,4 hit s = 3, b= 12
L 10f6c0,4 miss eviction s = 22, b= 0
L 10f6c4,4 hit s = 22, b= 4
L 10f6c8,4 hit s = 22, b= 8
L 10f6cc,4 hit s = 22, b= 12
L 10f6d0,4 hit s = 22, b= 16
L 10f6d4,4 hit s = 22, b= 20
L 10f6d8,4 hit s = 22, b= 24
L 10f6dc,4 hit s = 22, b= 28
S 14f0f0,4 hit s = 7, b= 16
S 14f170,4 hit s = 11, b= 16
S 14f1f0,4 hit s = 15, b= 16
S 14f270,4 hit s = 19, b= 16
S 14f2f0,4 hit s = 23, b= 16
S 14f370,4 hit s = 27, b= 16
S 14f3f0,4 hit s = 31, b= 16
S 14f470,4 hit s = 3, b= 16
L 10f740,4 miss eviction s = 26, b= 0
L 10f744,4 hit s = 26, b= 4
L 10f748,4 hit s = 26, b= 8
L 10f74c,4 hit s = 26, b= 12
L 10f750,4 hit s = 26, b= 16
L 10f754,4 hit s = 26, b= 20
L 10f758,4 hit s = 26, b= 24
L 10f75c,4 hit s = 26, b= 28
S 14f0f4,4 hit s = 7, b= 20
S 14f174,4 hit s = 11, b= 20
S 14f1f4,4 hit s = 15, b= 20
S 14f274,4 hit s = 19, b= 20
S 14f2f4,4 hit s = 23, b= 20
S 14f374,4 hit s = 27, b= 20
S 14f3f4,4 hit s = 31, b= 20
S 14f474,4 hit s = 3, b= 20
L 10f7c0,4 miss eviction s = 30, b= 0
L 10f7c4,4 hit s = 30, b= 4
L 10f7c8,4 hit s = 30, b= 8
L 10f7cc,4 hit s = 30, b= 12
L 10f7d0,4 hit s = 30, b= 16
L 10f7d4,4 hit s = 30, b= 20
L 10f7d8,4 hit s = 30, b= 24
L 10f7dc,4 hit s = 30, b= 28
S 14f0f8,4 hit s = 7, b= 24
S 14f178,4 hit s = 11, b= 24
S 14f1f8,4 hit s = 15, b= 24
S 14f278,4 hit s = 19, b= 24
S 14f2f8,4 hit s = 23, b= 24
S 14f378,4 hit s = 27, b= 24
S 14f3f8,4 hit s = 31, b= 24
S 14f478,4 hit s = 3, b= 24
L 10f840,4 miss eviction s = 2, b= 0
L 10f844,4 hit s = 2, b= 4
L 10f848,4 hit s = 2, b= 8
L 10f84c,4 hit s = 2, b= 12
L 10f850,4 hit s = 2, b= 16
L 10f854,4 hit s = 2, b= 20
L 10f858,4 hit s = 2, b= 24
L 10f85c,4 hit s = 2, b= 28
S 14f0fc,4 hit s = 7, b= 28
S 14f17c,4 hit s = 11, b= 28
S 14f1fc,4 hit s = 15, b= 28
S 14f27c,4 hit s = 19, b= 28
S 14f2fc,4 hit s = 23, b= 28
S 14f37c,4 hit s = 27, b= 28
S 14f3fc,4 hit s = 31, b= 28
S 14f47c,4 hit s = 3, b= 28
L 10f8c0,4 miss eviction s = 6, b= 0
L 10f8c4,4 hit s = 6, b= 4
L 10f8c8,4 hit s = 6, b= 8
L 10f8cc,4 hit s = 6, b= 12
L 10f8d0,4 hit s = 6, b= 16
L 10f8d4,4 hit s = 6, b= 20
L 10f8d8,4 hit s = 6, b= 24
L 10f8dc,4 hit s = 6, b= 28
S 14f100,4 miss s = 8, b= 0
S 14f180,4 miss s = 12, b= 0
S 14f200,4 miss s = 16, b= 0
S 14f280,4 miss s = 20, b= 0
S 14f300,4 miss s = 24, b= 0
S 14f380,4 miss s = 28, b= 0
S 14f400,4 miss s = 0, b= 0
S 14f480,4 miss s = 4, b= 0
L 10f940,4 miss eviction s = 10, b= 0
L 10f944,4 hit s = 10, b= 4
L 10f948,4 hit s = 10, b= 8
L 10f94c,4 hit s = 10, b= 12
L 10f950,4 hit s = 10, b= 16
L 10f954,4 hit s = 10, b= 20
L 10f958,4 hit s = 10, b= 24
L 10f95c,4 hit s = 10, b= 28
S 14f104,4 hit s = 8, b= 4
S 14f184,4 hit s = 12, b= 4
S 14f204,4 hit s = 16, b= 4
S 14f284,4 hit s = 20, b= 4
S 14f304,4 hit s = 24, b= 4
S 14f384,4 hit s = 28, b= 4
S 14f404,4 hit s = 0, b= 4
S 14f484,4 hit s = 4, b= 4
L 10f9c0,4 miss eviction s = 14, b= 0
L 10f9c4,4 hit s = 14, b= 4
L 10f9c8,4 hit s = 14, b= 8
L 10f9cc,4 hit s = 14, b= 12
L 10f9d0,4 hit s = 14, b= 16
L 10f9d4,4 hit s = 14, b= 20
L 10f9d8,4 hit s = 14, b= 24
L 10f9dc,4 hit s = 14, b= 28
S 14f108,4 hit s = 8, b= 8
S 14f188,4 hit s = 12, b= 8
S 14f208,4 hit s = 16, b= 8
S 14f288,4 hit s = 20, b= 8
S 14f308,4 hit s = 24, b= 8
S 14f388,4 hit s = 28, b= 8
S 14f408,4 hit s = 0, b= 8
S 14f488,4 hit s = 4, b= 8
L 10fa40,4 miss eviction s = 18, b= 0
L 10fa44,4 hit s = 18, b= 4
L 10fa48,4 hit s = 18, b= 8
L 10fa4c,4 hit s = 18, b= 12
L 10fa50,4 hit s = 18, b= 16
L 10fa54,4 hit s = 18, b= 20
L 10fa58,4 hit s = 18, b= 24
L 10fa5c,4 hit s = 18, b= 28
S 14f10c,4 hit s = 8, b= 12
S 14f18c,4 hit s = 12, b= 12
S 14f20c,4 hit s = 16, b= 12
S 14f28c,4 hit s = 20, b= 12
S 14f30c,4 hit s = 24, b= 12
S 14f38c,4 hit s = 28, b= 12
S 14f40c,4 hit s = 0, b= 12
S 14f48c,4 hit s = 4, b= 12
L 10fac0,4 miss eviction s = 22, b= 0
L 10fac4,4 hit s = 22, b= 4
L 10fac8,4 hit s = 22, b= 8
L 10facc,4 hit s = 22, b= 12
L 10fad0,4 hit s = 22, b= 16
L 10fad4,4 hit s = 22, b= 20
L 10fad8,4 hit s = 22, b= 24
L 10fadc,4 hit s = 22, b= 28
S 14f110,4 hit s = 8, b= 16
S 14f190,4 hit s = 12, b= 16
S 14f210,4 hit s = 16, b= 16
S 14f290,4 hit s = 20, b= 16
S 14f310,4 hit s = 24, b= 16
S 14f390,4 hit s = 28, b= 16
S 14f410,4 hit s = 0, b= 16
S 14f490,4 hit s = 4, b= 16
L 10fb40,4 miss eviction s = 26, b= 0
L 10fb44,4 hit s = 26, b= 4
L 10fb48,4 hit s = 26, b= 8
L 10fb4c,4 hit s = 26, b= 12
L 10fb50,4 hit s = 26, b= 16
L 10fb54,4 hit s = 26, b= 20
L 10fb58,4 hit s = 26, b= 24
L 10fb5c,4 hit s = 26, b= 28
S 14f114,4 hit s = 8, b= 20
S 14f194,4 hit s = 12, b= 20
S 14f214,4 hit s = 16, b= 20
S 14f294,4 hit s = 20, b= 20
S 14f314,4 hit s = 24, b= 20
S 14f394,4 hit s = 28, b= 20
S 14f414,4 hit s = 0, b= 20
S 14f494,4 hit s = 4, b= 20
L 10fbc0,4 miss eviction s = 30, b= 0
L 10fbc4,4 hit s = 30, b= 4
L 10fbc8,4 hit s = 30, b= 8
L 10fbcc,4 hit s = 30, b= 12
L 10fbd0,4 hit s = 30, b= 16
L 10fbd4,4 hit s = 30, b= 20
L 10fbd8,4 hit s = 30, b= 24
L 10fbdc,4 hit s = 30, b= 28
S 14f118,4 hit s = 8, b= 24
S 14f198,4 hit s = 12, b= 24
S 14f218,4 hit s = 16, b= 24
S 14f298,4 hit s = 20, b= 24
S 14f318,4 hit s = 24, b= 24
S 14f398,4 hit s = 28, b= 24
S 14f418,4 hit s = 0, b= 24
S 14f498,4 hit s = 4, b= 24
L 10fc40,4 miss eviction s = 2, b= 0
L 10fc44,4 hit s = 2, b= 4
L 10fc48,4 hit s = 2, b= 8
L 10fc4c,4 hit s = 2, b= 12
